unique_id,greenup_coef,abs_greenup_coef,greenup_p_value
Australia_63429,-0.0341022577764962,0.0341022577764962,0.962136313558263
Australia_63446,1.6332795395193,1.6332795395193,0.0157230473652045
Australia_63453,0.733542840832044,0.733542840832044,0.135496075327627
Australia_63455,1.53943431761579,1.53943431761579,0.217154890395599
Australia_63458,-1.3502389410127,1.3502389410127,0.0415355840196063
Australia_63500,0.221910743190268,0.221910743190268,0.221274571156593
Australia_63509,-0.189539967740561,0.189539967740561,0.483971069607826
Australia_63518,-0.149242197035061,0.149242197035061,0.330231709307624
Australia_63519,-0.165211605899978,0.165211605899978,0.402661045436478
Australia_63521,-0.376024357407153,0.376024357407153,0.698662430585767
Australia_63526,0.332041661392274,0.332041661392274,0.168875359490766
