unique_id,X,Y,og_layer,greenup_coef,abs_greenup_coef,greenup_p_value
Norway_183400_control,34.6117699112487,57.8749327253422,controls,0.248858817841676,0.248858817841676,0.0527147381450788
Canada_18539_control,-114.732424751187,53.6906366169301,controls,-0.241028524330906,0.241028524330906,0.338753514461241
Norway_183380_control,40.9691819037474,62.2737622767069,controls,-0.382188233493074,0.382188233493074,0.0371374862636506
Norway_183384_control,42.9489662037045,57.1449809750332,controls,0.0266884646777976,0.0266884646777976,0.817030356514342
Canada_18542_control,-114.537792363998,53.4218875171244,controls,-0.0589886366199547,0.0589886366199547,0.878104376549148
Norway_183318_control,35.526350433547,62.3081758751348,controls,-0.0748234512362573,0.0748234512362573,0.644582667990413
Norway_183282_control,31.2311665348196,62.6595703774353,controls,-0.0435727122011618,0.0435727122011618,0.901207245798989
Norway_183383_control,37.6055744186695,59.0314950922318,controls,0.0851730279750782,0.0851730279750782,0.583141236162013
Canada_18421_control,-151.263503419573,61.5323206684738,controls,-0.178863004642513,0.178863004642513,0.481442438305137
Canada_18566_control,-115.252320033659,55.2088285648624,controls,-0.319303247342005,0.319303247342005,0.224669175285383
Canada_18558_control,-119.817967749462,57.9879218052747,controls,1.98078535371535,1.98078535371535,0.0723399766934635
Canada_18576_control,-87.6948729289322,46.1260084949363,controls,-0.123991660090912,0.123991660090912,0.483256189210673
Canada_18571_control,-66.8633209112193,46.0339185444311,controls,-0.10104540993588,0.10104540993588,0.556847877942532
Canada_18572_control,-88.5879501388106,46.3210619922413,controls,-0.0843407229844661,0.0843407229844661,0.508815819780022
Canada_18553_control,-110.102558522606,43.0413414909365,controls,2.28616952855309,2.28616952855309,0.209392519224483
Canada_18560_control,-85.7020918166129,46.4639714866461,controls,-0.0721884058764226,0.0721884058764226,0.715682117582056
Canada_18565_control,-122.516746295197,58.2262901998312,controls,-0.308807446403098,0.308807446403098,0.10735820881874
Canada_18550_control,-64.6536353062594,50.6440087556094,controls,1.87923765160968,1.87923765160968,0.00978681120838532
Canada_18603_control,-118.994267171596,54.7201556713879,controls,-0.2104098206828,0.2104098206828,0.300252192999018
Canada_18561_control,-122.837969093705,59.2427774439287,controls,-0.349445718153172,0.349445718153172,0.0695616337084258
Canada_18483_control,-68.9048518720012,49.0522353419078,controls,-0.239545390377767,0.239545390377767,0.161090123142409
Canada_18569_control,-95.1945117848832,53.1710195209086,controls,-0.0458539512043999,0.0458539512043999,0.763336500472644
Canada_18609_control,-94.4145483070393,47.6307101304507,controls,-0.138263390299377,0.138263390299377,0.388211020477122
Canada_18629_control,-88.9035308407818,45.254228972022,controls,-0.0265140329223445,0.0265140329223445,0.873795896843546
Canada_18604_control,-99.0640801794827,53.9353185222298,controls,-0.0322388107312623,0.0322388107312623,0.835648526297679
Canada_18546_control,-96.4636979991384,51.7895845830766,controls,-0.108097241072466,0.108097241072466,0.534210009686999
Canada_18663_control,-118.975323759449,54.9224859670804,controls,-0.403227655115488,0.403227655115488,0.0737028779954416
Canada_18567_control,-108.779935148845,54.6022101976722,controls,-0.0505182224286263,0.0505182224286263,0.798747940456077
Canada_18556_control,-102.806893082857,52.3813445370645,controls,-0.156926817995274,0.156926817995274,0.329592551081438
Canada_18612_B_control,-91.5617191928946,47.7025904528658,controls,-0.238841669840918,0.238841669840918,0.124778333307622
Canada_18647_control,-64.7040432896185,46.2991650930047,controls,-0.0375955429529264,0.0375955429529264,0.858914196906458
Canada_18563_control,-83.7057464749413,49.0990828531981,controls,-0.0414193950466185,0.0414193950466185,0.838896545042913
Canada_18618_control,-86.4261318944861,51.777981865257,controls,0.554613727585671,0.554613727585671,0.0326281653354839
Canada_18575_control,-54.8476472561318,48.4929703982896,controls,-7.15319477244988,7.15319477244988,0.329052449756192
Canada_18610_control,-84.9037239559182,49.9425174874544,controls,-0.0461616977754019,0.0461616977754019,0.790022521599805
Canada_18615_control,-93.4991843517103,47.9220913374424,controls,-0.0918250132591117,0.0918250132591117,0.597431844327424
Canada_18606_control,-98.6957072533396,51.8956625606866,controls,0.0130972671473133,0.0130972671473133,0.927920840157603
