unique_id,median_evi_coef,abs_median_evi_coef,median_evi_p_value
Burundi_101434,-15.1405565964505,15.1405565964505,0.196448134776216
Albania_101474,-1.0791862618666,1.0791862618666,0.838295868173386
Mexico_101571,9.5040152906306,9.5040152906306,0.390186244435406
Canada_101590,6.76495937951982,6.76495937951982,0.00190307152851711
Canada_101597_A,3.94030081708352,3.94030081708352,0.477876471418277
Canada_101637,4.34029412991455,4.34029412991455,0.724989009143738
Canada_101638,-12.4256338904542,12.4256338904542,0.117794404767542
Canada_101639,1.92401668467916,1.92401668467916,0.94718252603972
Canada_101642,6.34769080428211,6.34769080428211,0.343671535486885
Canada_101643,-6.39461764553933,6.39461764553933,0.194557685065355
Canada_101644,-0.287324610953144,0.287324610953144,0.965305934812044
Canada_101647,-8.12893798986059,8.12893798986059,0.0538611476547814
Canada_101649,4.64626318511588,4.64626318511588,0.136541840827292
Canada_101653,-3.77815365470783,3.77815365470783,0.28725477615249
Canada_101654,-18.5094814094517,18.5094814094517,0.0253771116786712
Canada_101655,3.21988402050915,3.21988402050915,0.56765752879697
Canada_101656,-14.1392094902767,14.1392094902767,0.218306606506807
Canada_101658,-10.5963293343937,10.5963293343937,0.571757716547254
Canada_101662,-13.4417788714261,13.4417788714261,0.293068695252481
Canada_101670_A,-3.90596123918037,3.90596123918037,0.494566683233728
Canada_101671,1.96364524895833,1.96364524895833,0.961007380774965
Canada_101672,9.34444168095881,9.34444168095881,0.0470689642142286
Canada_101675,24.2951079516801,24.2951079516801,0.00103593051836708
Canada_101679_A,-6.76244454078683,6.76244454078683,0.0756226531701407
Canada_101684,-16.1447284279048,16.1447284279048,0.0537882482757939
