unique_id,X,Y,og_layer,evi_coef,abs_evi_coef,evi_p_value
United States of America_368535,-107.268312670745,39.9523498050857,protected_areas,4.84900665081533,4.84900665081533,0.413121781382951
United States of America_368546,-92.9625302263796,34.8543005144883,protected_areas,15.6737962986395,15.6737962986395,0.377414558939757
United States of America_368575,-123.858744008186,44.544728357846,protected_areas,-15.2458431471898,15.2458431471898,0.171641530465841
United States of America_368668,-114.465865379839,38.562475870568,protected_areas,-0.608559984489082,0.608559984489082,0.841187272654844
United States of America_368675,-106.644654124631,38.6956065643242,protected_areas,8.00260164659779,8.00260164659779,0.000100700030840758
United States of America_368676,-111.539670620111,34.4496357809911,protected_areas,-1.55896820264395,1.55896820264395,0.618378464125046
United States of America_368865,-111.813683589932,46.8724798827926,protected_areas,-14.7767610357246,14.7767610357246,0.272923418991581
United States of America_368877,-84.505817716863,35.2632809899232,protected_areas,1.84765699734177,1.84765699734177,0.878767906439456
United States of America_368913,-114.103409786718,34.1789792412114,protected_areas,-1.40221090268776,1.40221090268776,0.76633175544122
United States of America_368917,-112.479051607897,42.7901678253764,protected_areas,5.93081380002473,5.93081380002473,0.464581604381548
United States of America_368926,-108.884233678092,32.6330705592255,protected_areas,2.18347741015829,2.18347741015829,0.531796847418971
United States of America_368998,-122.030849755018,43.6417396982646,protected_areas,6.26415373181477,6.26415373181477,0.350637476025921
United States of America_369006,-117.496042485596,35.4158765266501,protected_areas,1.61164084327949,1.61164084327949,0.81727547744108
United States of America_369042,-121.203315482974,42.2169476412239,protected_areas,2.5961818755858,2.5961818755858,0.75707342367249
