unique_id,WDPA_PID,NAME,STATUS_YR,country,continent,max_species_body_mass,mean_species_body_mass,median_species_body_mass,herbivore_fg,predator_fg,trophic_groups,predator_fg_simple,herbivore_fg_simple,n_species_pa,n_herbi_sp_pa,n_carni_sp_pa,n_mixed_feeder_sp_pa,n_grazer_sp_pa,n_browser_sp_pa,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,n_native_sp_pa,n_introduced_sp_pa,percent_native_sp,percent_introduced_sp,intro_native_ratio,prop_species_w_occasional_predator,prop_species_w_regular_predator,elephant_yn,GIS_AREA
United States of America_11111365,11111365,Bluejay,1971,United States of America,North America,180.5204,77.328825,54.8606,5,2,4,2,3,8,5,3,2,0,3,,0,1.5,8,0,1,0,0,1,1,no,3.20188381615117
United States of America_11115236,11115236,Millard Canyon,1991,United States of America,North America,180.5204,85.8128857142857,99.9494,5,2,4,2,3,6,4,2,1,0,3,,0,3,5,2,0.833333333333333,0.333333333333333,0.4,1,0.25,no,3.18832061228997
United States of America_555665453,555665453,Black Ridge Canyons,1993,United States of America,North America,180.5204,84.7592125,77.081,6,2,4,2,3,8,6,2,2,0,4,,0,2,7,1,0.875,0.125,0.142857142857143,1,0.333333333333333,no,3.17259765502419
United States of America_555665476,555665476,Julia Butler Hansen Refuge For The Columbian White-Tailed Deer,2010,United States of America,North America,131.25,67.6544833333333,54.8606,4,2,4,2,3,6,4,2,1,0,3,,0,3,6,0,1,0,0,1,0.5,no,3.1540419469626
United States of America_555674250,555674250,Headwater Lakes,2015,United States of America,North America,99.9494,50.2619,43.84595,3,1,2,1,2,4,2,2,0,0,2,,,Inf,4,0,1,0,0,1,1,no,3.12798306890977
United States of America_555604487,555604487,Escalante Canyons Tract 5 I,1980,United States of America,North America,180.5204,88.4897833333333,77.081,5,2,4,2,3,6,4,2,2,0,2,,0,1,6,0,1,0,0,1,0.25,no,3.08755372900939
United States of America_111161,111161,Thunderbolt Mountain,1996,United States of America,North America,356.998,104.81289,64.00445,7,2,4,2,3,10,7,3,3,0,4,,0,1.33333333333333,10,0,1,0,0,1,1,no,3.08183872507084
United States of America_555569773,555569773,Mont-Gosford Ecological Reserve,2013,United States of America,North America,356.998,131.465575,77.729,4,1,3,1,3,4,3,1,0,0,3,,,Inf,4,0,1,0,0,0,0,no,3.06580968915128
United States of America_555607550,555607550,Mattamuskeet National Wildlife Refuge.,0,United States of America,North America,101.0521,57.6499333333333,54.2543,5,1,3,1,3,6,4,2,1,0,3,,0,3,4,2,0.666666666666667,0.333333333333333,0.5,1,1,no,3.06117108217089
United States of America_555672317,555672317,Bull Elk Park,1952,United States of America,North America,180.5204,71.6114571428572,54.2126,4,2,4,2,3,7,5,2,1,0,4,,0,4,7,0,1,0,0,1,0.6,no,3.0562650815932
United States of America_555607898,555607898,Monumental Creek,1996,United States of America,North America,356.998,96.8310454545455,55.5086,7,3,5,3,3,11,7,4,3,0,4,,0,1.33333333333333,11,0,1,0,0,1,1,no,3.05420443038078
United States of America_555671410,555671410,Haufer Wash Rna,1988,United States of America,North America,180.5204,72.6441,54.2126,6,2,5,2,3,9,7,2,2,0,5,,0,2.5,9,0,1,0,0,1,0.571428571428571,no,3.04897747336769
United States of America_44444011,44444011,Fish Lake,1988,United States of America,North America,356.998,102.070345454545,72.5003,7,2,4,2,3,11,8,3,4,0,4,,0,1,11,0,1,0,0,1,1,no,3.0457010886225
United States of America_555662136,555662136,Frozen Ocean,0,United States of America,North America,101.0521,67.4791,77.729,4,1,3,1,3,4,3,1,0,0,3,,,Inf,3,1,0.75,0.25,0.333333333333333,0,0,no,3.04307042197402
United States of America_555651992,555651992,Frank Church-River Of No Return,1980,United States of America,North America,356.998,96.8310454545455,55.5086,7,3,5,3,3,11,7,4,3,0,4,,0,1.33333333333333,11,0,1,0,0,1,1,no,3.04022474990678
United States of America_374621,374621,Shell Canyon,1987,United States of America,North America,180.5204,71.6114571428572,54.2126,4,2,4,2,3,7,5,2,1,0,4,,0,4,7,0,1,0,0,1,0.6,no,3.03061123761218
United States of America_555602015,555602015,Afton Front,1996,United States of America,North America,356.998,102.17115,54.8606,6,2,4,2,3,10,7,3,2,0,5,,0,2.5,10,0,1,0,0,1,1,no,3.01109295230775
United States of America_367842,367842,Devils Reach,1991,United States of America,North America,180.5204,77.7059125,54.8606,6,2,5,2,3,8,6,2,3,0,3,,0,1,7,1,0.875,0.125,0.142857142857143,1,0.5,no,2.99059558949855
United States of America_555586307,555586307,Snake River Islands,0,United States of America,North America,356.998,102.17115,54.8606,6,2,4,2,3,10,7,3,2,0,5,,0,2.5,10,0,1,0,0,1,1,no,2.98343415045254
United States of America_371733,371733,Merriam Lake Basin,1991,United States of America,North America,356.998,102.070345454545,72.5003,7,2,4,2,3,11,8,3,4,0,4,,0,1,11,0,1,0,0,1,1,no,2.98126259277316
United States of America_376733,376733,West Fork Mink Creek,1973,United States of America,North America,356.998,109.947577777778,55.5086,6,2,4,2,3,9,7,2,2,0,5,,0,2.5,9,0,1,0,0,1,0.428571428571429,no,2.9699039423672
United States of America_555671432,555671432,Snowy Range,1936,United States of America,North America,180.5204,78.5750111111111,55.5086,6,2,4,2,3,9,7,2,3,0,4,,0,1.33333333333333,9,0,1,0,0,1,0.571428571428571,no,2.96800019147362
United States of America_555652024,555652024,Ventana,2002,United States of America,North America,180.5204,83.4568,77.081,5,2,4,2,3,6,4,2,1,0,3,,0,3,5,1,0.833333333333333,0.166666666666667,0.2,1,0.25,no,2.96516148311888
United States of America_372692,372692,Olallie Ridge,1963,United States of America,North America,180.5204,83.7781857142857,55.5086,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,2.96259994337543
United States of America_11115233,11115233,Lyon Peak/Needle Lake,1992,United States of America,North America,180.5204,75.8662166666667,54.8606,4,2,4,2,3,6,4,2,1,0,3,,0,3,6,0,1,0,0,1,0.5,no,2.95999095285019
United States of America_11111390,11111390,Monte Cristo,1998,United States of America,North America,180.5204,83.7781857142857,55.5086,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,2.95979810121122
United States of America_555665499,555665499,Strawberry Mountain-Sheep Gulch,1992,United States of America,North America,180.5204,85.937425,77.729,6,2,4,2,3,8,6,2,2,0,4,,0,2,7,1,0.875,0.125,0.142857142857143,1,0.333333333333333,no,2.95542677095276
United States of America_555662123,555662123,Dog Hollow,0,United States of America,North America,99.9494,56.2881,55.5086,3,1,2,1,2,3,2,1,0,0,2,,,Inf,3,0,1,0,0,0,0,no,2.95285776471016
United States of America_555603020,555603020,Bunchgrass Meadows,2008,United States of America,North America,356.998,99.26412,54.8606,6,3,5,3,3,10,6,4,2,0,4,,0,2,10,0,1,0,0,1,1,no,2.94836202157242
United States of America_555662124,555662124,Dolph Pond,0,United States of America,North America,356.998,131.465575,77.729,4,1,3,1,3,4,3,1,0,0,3,,,Inf,4,0,1,0,0,0,0,no,2.94389814439054
United States of America_369409,369409,Halliday Fen,2004,United States of America,North America,356.998,108.403177777778,55.5086,6,2,4,2,3,9,6,3,2,0,4,,0,2,9,0,1,0,0,1,1,no,2.92110375915019
United States of America_555604227,555604227,Dry Buck,1996,United States of America,North America,131.25,59.0143125,52.9063,5,3,5,3,3,8,4,4,2,0,2,,0,1,8,0,1,0,0,1,1,no,2.90781921240822
United States of America_375043,375043,Square Mountain,2000,United States of America,North America,356.998,104.81289,64.00445,7,2,4,2,3,10,7,3,3,0,4,,0,1.33333333333333,10,0,1,0,0,1,1,no,2.86672529952297
United States of America_11111410,11111410,Three Creek,1995,United States of America,North America,180.5204,83.7781857142857,55.5086,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,2.85285833500621
United States of America_11111368,11111368,Cedar Flats,1946,United States of America,North America,180.5204,83.7781857142857,55.5086,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,2.84937559514015
United States of America_555607766,555607766,Mill Lake,1996,United States of America,North America,356.998,104.81289,64.00445,7,2,4,2,3,10,7,3,3,0,4,,0,1.33333333333333,10,0,1,0,0,1,1,no,2.84694894213152
United States of America_555662163,555662163,Kerryville,0,United States of America,North America,99.9494,56.2881,55.5086,3,1,2,1,2,3,2,1,0,0,2,,,Inf,3,0,1,0,0,0,0,no,2.83180017726108
United States of America_372637,372637,O'Brien Creek,1994,United States of America,North America,180.5204,82.636525,65.07675,6,2,4,2,3,8,6,2,3,0,3,,0,1,8,0,1,0,0,1,0.5,no,2.82364019820167
United States of America_555662157,555662157,Independence River,0,United States of America,North America,356.998,131.465575,77.729,4,1,3,1,3,4,3,1,0,0,3,,,Inf,4,0,1,0,0,0,0,no,2.79581447452229
United States of America_11111381,11111381,Lake Twenty-Two,1947,United States of America,North America,180.5204,88.4897833333333,77.081,5,2,4,2,3,6,4,2,2,0,2,,0,1,6,0,1,0,0,1,0.25,no,2.79220729076504
United States of America_555606911,555606911,Lake Creek Rna,0,United States of America,North America,99.9494,56.2881,55.5086,3,1,2,1,2,3,2,1,0,0,2,,,Inf,3,0,1,0,0,0,0,no,2.79219082188782
United States of America_4444262,4444262,Bayou Beouf,1975,United States of America,North America,101.0521,67.4791,77.729,4,1,3,1,3,4,3,1,0,0,3,,,Inf,3,1,0.75,0.25,0.333333333333333,0,0,no,2.79129204767193
United States of America_11115203,11115203,Adorni,1999,United States of America,North America,180.5204,90.2844,99.9494,6,2,4,2,3,7,5,2,2,0,3,,0,1.5,6,1,0.857142857142857,0.142857142857143,0.166666666666667,1,0.2,no,2.76891036300748
United States of America_555606237,555606237,High Mesa Grassland,1993,United States of America,North America,180.5204,82.636525,65.07675,6,2,4,2,3,8,6,2,3,0,3,,0,1,8,0,1,0,0,1,0.5,no,2.76887076229189
United States of America_371824,371824,Mill Creek Gorge,1998,United States of America,North America,180.5204,82.4316571428571,54.2126,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,2.76432673104699
