reserve_name,area_ha,PaAge,MeanBodyMassCwm,MaxBodyMass,HerbivoreSpeciesRichness,HerbivoreFunDiv,HerbivoreBiomassKgKm2,GrazerBiomassKgKm2,BrowserBiomassKgKm2,MixedFeederBiomassKgKm2,ElephantBiomassKgKm2,Elevation,MMP,MAT,MaxTemp,MinTemp,BurnedAreaMean,FireFrequencyMean,EVI,NPP,EviSD,EviTrend,NppTrend,FireFreqTrend,BurnedAreaTrend,SOSTrend,EviSDTrend,AbsMeanTempDiff,RelMeanTempDiff,AbsMaxTempDiff,RelMaxTempDiff,AbsMinTempDiff,RelMinTempDiff,AbsPrecDiff,RelPrecDiff,SlopeMeanTemp,SlopeMaxTemp,SlopeMinTemp,SlopePrec,NitrogenDepo,HumanModification,SpeciesLoss,BodyMassLoss,Biome,LandCover,Longitude,Latitude,ClimaticRegion
reserve_340,27453.9819204014,23,47.4596423691278,4400,26,3.65368176694442,4588.88521145198,688.523726714963,1357.93464653287,2542.42683820415,929.555503969927,369.374176025391,35.3278770446777,17.9456920623779,31.1360054016113,5.96864891052246,0.00799483247101307,0,2245.65258789062,5632.7822265625,246.296035766602,-2.7074191570282,-19.1637706756592,0,-0.000571189564652741,-2.10890460014343,-1.36797869205475,0.443221688270569,1.02520310878754,3.31981086730957,1.11924886703491,0.98606663942337,1.19885396957397,-6.8726749420166,0.837056696414948,-0.000647506909444928,0.0580552704632282,0.0194370690733194,-0.312571197748184,185.267349243164,0.139438688755035,0.0773196741938591,-0.804022014141083,Montane Grasslands & Shrublands,HerbacousVeg,26.5326662437463,-33.1405960040328,Arid
reserve_341,4329.48440776331,20,13.1079735896249,569.9936,21,3.35391319248882,5960.53136344055,1178.54661650948,1405.94639608476,3376.0383508463,0,962.64404296875,46.3276786804199,15.7594242095947,29.6855278015137,2.21430253982544,0.733791887760162,0.277013003826141,3138.94116210938,8106.12109375,268.866912841797,-3.56435942649841,-21.3444728851318,-0.0380517840385437,-0.0977213755249977,-2.01315212249756,-0.93680214881897,0.7373908162117,1.0478972196579,2.782546043396,1.10259926319122,0.706235945224762,1.45875430107117,4.03243350982666,1.09642422199249,0.0105419242754579,0.108087703585625,-0.00516934040933847,-0.119502805173397,317.555114746094,0.17125278711319,0.28565776348114,-0.792184829711914,Montane Grasslands & Shrublands,HerbacousVeg,26.195312802017,-32.6000832913261,Arid
reserve_342,1505.81540123533,38,30.7175696165931,400,12,1.33753805887042,23487.3285005489,238.741016797329,1063.41408029586,22185.1734034557,0,71.0885696411133,49.295597076416,18.6706352233887,26.2481517791748,12.0945816040039,0.27230116724968,0,3688.84155273438,11734.30078125,463.847869873047,5.12235307693481,2.20974969863892,0,0.0478601939976215,-4.69059705734253,-0.485228657722473,0.111518941819668,1.00600528717041,-0.437415480613709,0.983606457710266,3.69179701805115,1.43933391571045,-6.1731128692627,0.889063000679016,-0.00462061539292336,1.40298589030863e-05,0.0125140873715281,-0.71339762210846,185.267364501953,0.162875935435295,0.120774731040001,-0.769190728664398,Montane Grasslands & Shrublands,HerbacousVeg,26.7487578427425,-33.634051475105,Temperate
reserve_343,52291.3047961152,,11.6185192847334,4400,32,2.83015678411743,2617.31634778729,433.124111806111,364.176916970233,1820.01531901094,12.6216012886531,196.18310546875,48.0487861633301,18.0928974151611,28.253438949585,9.39423084259033,0.176944240927696,0.21703927218914,3299.7021484375,10187.6044921875,280.450622558594,-2.41568326950073,-13.5709457397461,0,0.0157899409532547,-1.66667366027832,-1.32421243190765,0.0297688189893961,1.00160396099091,1.35841262340546,1.05027592182159,2.30419707298279,1.31566751003265,-5.17483043670654,0.903505563735962,-0.00389879709109664,0.0140537871047854,0.0129217077046633,-0.628324449062347,185.267364501953,0.229020968079567,0.120774745941162,-0.769190728664398,Montane Grasslands & Shrublands,HerbacousVeg,26.664014366996,-33.5087793455528,Arid
reserve_344,35843.5539939775,4,10.4332002566879,400,17,1.9480997041568,348.596736866535,13.2659685498791,271.036555181786,64.2942131348698,0,743.599914550781,35.395206451416,16.0193271636963,30.649543762207,3.58422493934631,2.70271611213684,0.288071513175964,1742.05065917969,4209.701171875,217.323165893555,-7.19781351089478,-21.0069789886475,0.00011813791206805,-0.0507866814732552,-3.21594619750977,-0.786662578582764,0.941526412963867,1.06183660030365,2.35386538505554,1.08245754241943,2.77737903594971,2.64525651931763,-7.22949838638306,0.830140113830566,0.0197186525911093,0.0265477709472179,0.0258879233151674,-0.195493906736374,173.006851196289,0.144605308771133,0.401899516582489,-0.696381151676178,"Mediterranean Forests, Woodlands & Scrub",HerbacousVeg,23.9902350867859,-33.5817380809701,Arid
reserve_345,3556.94455121032,13,10.0603037212003,580.0027,16,3.2340201200106,3222.85140376994,610.350625022053,993.933042559527,1618.56773618836,0,559.013793945313,23.3153781890869,18.5067939758301,34.3565711975098,4.36088132858276,0,0,1438.19677734375,2815.33642578125,256.020294189453,-7.11164474487305,-12.2554731369019,0,0,-5.02610778808594,-1.20278596878052,1.35657548904419,1.07901537418365,4.21112108230591,1.13959419727325,1.56366658210754,1.56970345973969,0.297091841697693,1.01267981529236,0.0251272805035114,0.0878698378801346,0.0253006853163242,-0.0417349077761173,216.466339111328,0.0979211255908012,0.424946278333664,-0.748937249183655,"Mediterranean Forests, Woodlands & Scrub",HerbacousVeg,24.6226495988023,-32.8569939692135,Arid
reserve_346,644.164114806597,15,99.1395533590441,2949.9863,14,2.70792467729316,29023.3432913493,12002.5564639243,2318.74295023164,14702.0438771933,0,244.753540039063,49.1106185913086,17.9340038299561,29.4403705596924,8.33664512634277,0.173535659909248,0.217391312122345,2934.40991210938,8489.921875,194.184753417969,-10.770432472229,-35.3831443786621,0,0.0043080160394311,1.09380125999451,-1.06262397766113,0.0505824461579323,1.00282561779022,2.41101360321045,1.08919835090637,1.76375150680542,1.26832318305969,-2.25156879425049,0.956240773200989,-0.00327407079748809,0.0200584046542645,0.011934831738472,-0.576727271080017,185.267364501953,0.334512919187546,0.120774738490582,-0.769190728664398,Montane Grasslands & Shrublands,HerbacousVeg,26.556574040752,-33.5104102006129,Arid
reserve_347,2804.63181452516,48,21.0328113325691,899.9948,20,2.50011782506438,9539.52841204925,1443.30912137404,2010.24147654638,6085.97781412883,0,314.255493164063,44.6298675537109,17.6462936401367,30.2972469329834,7.00853967666626,0.0566787123680115,0.217391297221184,2914.57470703125,8462.9814453125,256.817169189453,-1.34718585014343,-10.2624168395996,0,-0.0045181280001998,-3.82377672195435,-2.57052969932556,0.0464669056236744,1.00262403488159,3.055988073349,1.11218178272247,1.27824902534485,1.22295105457306,-6.67274284362793,0.869998037815094,-0.00220806105062366,0.0317691452801228,0.013952030800283,-0.461854517459869,185.267349243164,0.205274134874344,0.109066992998123,-0.7720006108284,Montane Grasslands & Shrublands,HerbacousVeg,26.4492853284809,-33.4471780429979,Arid
reserve_348,65031.9002363549,25,13.3523046758121,569.9936,22,2.24011538464192,4879.53402586574,582.689347109319,417.05718857094,3879.78749018548,0,265.192993164063,44.2851982116699,17.8058338165283,29.6871929168701,7.80259037017822,0.0632617026567459,0.199776917695999,3116.19970703125,9319.9365234375,254.447372436523,-4.47600030899048,-22.9169464111328,0,0.00270272139459848,-1.19846093654633,-2.30030155181885,0.058994073420763,1.00328278541565,2.37551879882813,1.08695650100708,1.83754682540894,1.30502641201019,-7.55020666122437,0.85472983121872,-0.00283388374373317,0.0221951846033335,0.0114621948450804,-0.479003071784973,185.267364501953,0.244423538446426,0.0342649146914482,-0.789953172206879,Montane Grasslands & Shrublands,HerbacousVeg,26.3662915644523,-33.5277317407942,Arid
reserve_349,1083.87727593774,,23.770668175634,400,15,1.23290011996689,14738.479456707,44.5622683234244,51.7241953905676,14642.192992993,0,218.540115356445,48.1415748596191,18.0277194976807,28.3019256591797,9.33412551879883,0,0,3203.73168945313,9499.8984375,227.861053466797,2.69578242301941,-1.39465153217316,0,0,-0.628525733947754,-0.906691551208496,0.0170113872736692,1.00093734264374,1.46776831150055,1.05468857288361,2.29421901702881,1.32577884197235,-6.35313081741333,0.883843064308167,-0.00424551265314221,0.0101899318397045,0.0122705632820725,-0.631593108177185,185.267364501953,0.247750014066696,0.120774745941162,-0.769190728664398,Montane Grasslands & Shrublands,HerbacousVeg,26.6432449505487,-33.5317439035979,Arid
