control_for,Continent,functional_biome,control_within_dist,unique_id,nitrogen_depo,functional_biome_num,olson_biome_num,climatic_region_num,elevation,MaxTemp,BurnedAreaMean,human_modification,MAT,MAP,EVI,climatic_region,olson_biome,land_cover
United States of America_555662170,North America,TMC,100k,United States of America_555662170_control,735.497985839844,5,4,26,235.286743164063,28.4355354309082,0,0.412392675876617,7.71772336959839,97.7455291748047,3199.08081054688,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662172,North America,TMC,100k,United States of America_555662172_control,720.554321289063,5,4,26,409.679901123047,27.8386077880859,0,0.112179987132549,6.6377387046814,110.880165100098,3426.82080078125,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662173,North America,TMC,100k,United States of America_555662173_control,720.554321289063,5,4,26,162.369369506836,28.5250930786133,0,0.51560389995575,8.12030124664307,101.192558288574,3173.78515625,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662175,North America,TMC,100k,United States of America_555662175_control,665.956115722656,5,4,26,299.476257324219,28.4541473388672,0,0.42094561457634,6.66051578521729,101.410209655762,3670.65795898438,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662178,North America,TMB,100k,United States of America_555662178_control,735.772155761719,17,4,25,221.008804321289,28.572639465332,0,0.627352356910706,9.31947422027588,103.70240020752,3280.32739257813,Cold,Temperate Broadleaf & Mixed Forests,OpenForestOther
United States of America_555662181,North America,TMC,100k,United States of America_555662181_control,984.272338867187,5,4,26,642.156005859375,27.2477798461914,0,0.143700107932091,7.88099575042725,93.3448944091797,3566.14868164063,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662182,North America,TMB,100k,United States of America_555662182_control,670.104736328125,17,4,26,417.804168701172,27.8085021972656,0,0.256115972995758,8.78938388824463,110.643455505371,3766.80615234375,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662188,North America,TMB,100k,United States of America_555662188_control,670.104736328125,17,4,26,380.411041259766,27.7178535461426,0,0.385441392660141,8.69260597229004,110.949417114258,3545.57250976563,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662189,North America,TMC,100k,United States of America_555662189_control,1128.54919433594,5,4,26,498.654449462891,28.9767379760742,0,0.341373562812805,9.0254602432251,114.97550201416,3518.77270507813,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662184,North America,TMC,100k,United States of America_555662184_control,736.20751953125,5,4,26,250.428283691406,28.370683670044,0,0.475845366716385,7.56276893615723,96.9617462158203,3508.43701171875,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
