term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,olson_biome,clean_term,sdt_error,sig_pn
nitrogen_depo,-3.37640487415211e-07,2.84867868044433e-05,0.235930898086435,-8.95981508782299e-07,2.20700533951878e-07,non-significant,burned_area,Montane Grasslands & Shrublands,Nitrogen Deposition,2.84867868044433e-07,Non-Significant
mat_coef,1.63806183912729e-06,6.28283102089385e-05,0.00913498682741757,4.06626959032093e-07,2.86949671922248e-06,significant,burned_area,Montane Grasslands & Shrublands,MAT Trend,6.28283102089385e-07,Sig. Positive
max_temp_coef,-9.33723252777769e-07,3.56921099651335e-05,0.00890175324362849,-1.63328860809439e-06,-2.34157897461152e-07,significant,burned_area,Montane Grasslands & Shrublands,Max Temp Trend,3.56921099651335e-07,Sig. Negative
map_coef,-6.01634657333072e-08,3.33761410044628e-05,0.856951062720361,-7.14335829420777e-07,5.94008897954163e-07,non-significant,burned_area,Montane Grasslands & Shrublands,MAP Trend,3.33761410044628e-07,Non-Significant
human_modification,-8.3324760260543e-07,2.55848503754551e-05,0.00112854793654621,-1.33471066996435e-06,-3.31784535246511e-07,significant,burned_area,Montane Grasslands & Shrublands,Human Modification,2.55848503754551e-07,Sig. Negative
(Intercept),-1.92902770418538e-05,0.000154349262651987,8.63316825453324e-36,-2.23155225898327e-05,-1.62650314938748e-05,significant,burned_area,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Intercept,1.54349262651987e-06,Sig. Negative
nitrogen_depo,-1.26008420182091e-05,0.00020034899051649,3.21110118838462e-10,-1.65276822323323e-05,-8.6740018040859e-06,significant,burned_area,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Nitrogen Deposition,2.0034899051649e-06,Sig. Negative
mat_coef,-2.07114600250784e-06,0.00015838075924972,0.190980654398626,-5.17540888380235e-06,1.03311687878667e-06,non-significant,burned_area,"Tropical & Subtropical Grasslands, Savannas & Shrublands",MAT Trend,1.5838075924972e-06,Non-Significant
max_temp_coef,1.19255625722649e-06,0.000133648988888257,0.372233719964986,-1.42696392498334e-06,3.81207643943631e-06,non-significant,burned_area,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Max Temp Trend,1.33648988888257e-06,Non-Significant
map_coef,-2.71436136072354e-06,9.60876251932504e-05,0.0047316025644759,-4.59767881451125e-06,-8.3104390693583e-07,significant,burned_area,"Tropical & Subtropical Grasslands, Savannas & Shrublands",MAP Trend,9.60876251932504e-07,Sig. Negative
human_modification,2.18162524606189e-06,8.27760763530893e-05,0.00840197265731005,5.59214149541336e-07,3.80403634258244e-06,significant,burned_area,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Human Modification,8.27760763530893e-07,Sig. Positive
(Intercept),-2.37512060975425e-06,6.15404975069014e-05,0.000113733984339894,-3.58131436088951e-06,-1.16892685861898e-06,significant,burned_area,Deserts & Xeric Shrublands,Intercept,6.15404975069014e-07,Sig. Negative
nitrogen_depo,1.20286008648179e-06,8.40262761071006e-05,0.152282677312931,-4.44054925217387e-07,2.84977509818096e-06,non-significant,burned_area,Deserts & Xeric Shrublands,Nitrogen Deposition,8.40262761071006e-07,Non-Significant
mat_coef,-3.93906229412091e-07,0.000104023897360458,0.704934688215732,-2.43277461767706e-06,1.64496215885288e-06,non-significant,burned_area,Deserts & Xeric Shrublands,MAT Trend,1.04023897360458e-06,Non-Significant
max_temp_coef,3.81757902238821e-07,8.94137197511125e-05,0.669411976146985,-1.37075100488298e-06,2.13426680936063e-06,non-significant,burned_area,Deserts & Xeric Shrublands,Max Temp Trend,8.94137197511125e-07,Non-Significant
map_coef,-2.28035490700596e-06,7.68738023146718e-05,0.00301434230931606,-3.78708143237353e-06,-7.73628381638394e-07,significant,burned_area,Deserts & Xeric Shrublands,MAP Trend,7.68738023146718e-07,Sig. Negative
human_modification,7.73036781684023e-07,5.05475155674276e-05,0.126187328097128,-2.17694523437559e-07,1.7637680868056e-06,non-significant,burned_area,Deserts & Xeric Shrublands,Human Modification,5.05475155674277e-07,Non-Significant
(Intercept),-2.77213019549618e-06,5.7196147924332e-05,1.2586671539778e-06,-3.89317469481309e-06,-1.65108569617927e-06,significant,burned_area,Tropical & Subtropical Moist Broadleaf Forests,Intercept,5.7196147924332e-07,Sig. Negative
nitrogen_depo,9.13749203682981e-07,2.53202660853165e-05,0.000307928001357248,4.17471988410779e-07,1.41002641895518e-06,significant,burned_area,Tropical & Subtropical Moist Broadleaf Forests,Nitrogen Deposition,2.53202660853164e-07,Sig. Positive
mat_coef,-1.10331360791375e-06,3.96475922606759e-05,0.00539101114754635,-1.880406416223e-06,-3.26220799604505e-07,significant,burned_area,Tropical & Subtropical Moist Broadleaf Forests,MAT Trend,3.96475922606759e-07,Sig. Negative
max_temp_coef,6.7899796361564e-07,3.77528472696271e-05,0.0720978042799034,-6.09578428690524e-08,1.41895377010033e-06,non-significant,burned_area,Tropical & Subtropical Moist Broadleaf Forests,Max Temp Trend,3.77528472696271e-07,Non-Significant
map_coef,4.42081832823674e-07,2.1662667217495e-05,0.0412799831387193,1.74935553607728e-08,8.66670110286576e-07,significant,burned_area,Tropical & Subtropical Moist Broadleaf Forests,MAP Trend,2.1662667217495e-07,Sig. Positive
human_modification,-1.25277565688264e-06,2.89044357770221e-05,1.46549921633892e-05,-1.81930259811228e-06,-6.86248715653011e-07,significant,burned_area,Tropical & Subtropical Moist Broadleaf Forests,Human Modification,2.89044357770221e-07,Sig. Negative
(Intercept),1.40774335769208e-06,5.07627670060154e-05,0.0055597224426479,4.12793124374174e-07,2.40269359100998e-06,significant,burned_area,Temperate Conifer Forests,Intercept,5.07627670060154e-07,Sig. Positive
nitrogen_depo,-9.22176058183572e-08,4.63204811485499e-05,0.842198835152673,-1.00009903632994e-06,8.15663824693221e-07,non-significant,burned_area,Temperate Conifer Forests,Nitrogen Deposition,4.63204811485499e-07,Non-Significant
mat_coef,-1.80352091287133e-06,0.000105393016270277,0.0870638913259948,-3.86922403176875e-06,2.62182206026093e-07,non-significant,burned_area,Temperate Conifer Forests,MAT Trend,1.05393016270277e-06,Non-Significant
max_temp_coef,8.65586442567153e-07,5.54842057085696e-05,0.118772356245152,-2.21903989320811e-07,1.95307687445512e-06,non-significant,burned_area,Temperate Conifer Forests,Max Temp Trend,5.54842057085696e-07,Non-Significant
map_coef,4.67988015559558e-07,7.63459182294521e-05,0.539898789555172,-1.0283919817377e-06,1.96436801285682e-06,non-significant,burned_area,Temperate Conifer Forests,MAP Trend,7.63459182294521e-07,Non-Significant
human_modification,-9.05358713773943e-07,4.042495298547e-05,0.0251349684611393,-1.69768779228916e-06,-1.1302963525873e-07,significant,burned_area,Temperate Conifer Forests,Human Modification,4.042495298547e-07,Sig. Negative
(Intercept),2.33239460596507e-06,0.000200356303603225,0.244378328814385,-1.59458894465814e-06,6.25937815658828e-06,non-significant,burned_area,Boreal Forests/Taiga,Intercept,2.00356303603225e-06,Non-Significant
nitrogen_depo,-3.28147257428964e-06,0.000434233398225005,0.449835887842179,-1.17924471794997e-05,5.22950203092045e-06,non-significant,burned_area,Boreal Forests/Taiga,Nitrogen Deposition,4.34233398225005e-06,Non-Significant
mat_coef,-4.17597790303133e-06,0.000194718520126438,0.0319867497005124,-7.99246089750951e-06,-3.59494908553156e-07,significant,burned_area,Boreal Forests/Taiga,MAT Trend,1.94718520126438e-06,Sig. Negative
max_temp_coef,9.52842660557944e-07,0.000103947739578513,0.359326636097115,-1.08453303518091e-06,2.9902183562968e-06,non-significant,burned_area,Boreal Forests/Taiga,Max Temp Trend,1.03947739578513e-06,Non-Significant
map_coef,1.09336910277753e-06,0.00041081535957939,0.790127537330497,-6.9586119449785e-06,9.14535015053357e-06,non-significant,burned_area,Boreal Forests/Taiga,MAP Trend,4.1081535957939e-06,Non-Significant
human_modification,-2.84883036742875e-06,0.000116268571192606,0.0142797265373714,-5.12769436280384e-06,-5.69966372053669e-07,significant,burned_area,Boreal Forests/Taiga,Human Modification,1.16268571192606e-06,Sig. Negative
(Intercept),-2.32249579130325e-06,0.000127158138230267,0.0677916884564052,-4.81479530061648e-06,1.69803718009992e-07,non-significant,burned_area,Tundra,Intercept,1.27158138230267e-06,Non-Significant
nitrogen_depo,-4.04442860772972e-06,0.000212382051793644,0.0568794980583784,-8.20711682288515e-06,1.18259607425712e-07,non-significant,burned_area,Tundra,Nitrogen Deposition,2.12382051793644e-06,Non-Significant
mat_coef,1.4716670789982e-08,4.03441633492098e-05,0.970901635566562,-7.76028930854531e-07,8.05462272434495e-07,non-significant,burned_area,Tundra,MAT Trend,4.03441633492098e-07,Non-Significant
max_temp_coef,-4.43448075507416e-08,1.34334022892932e-05,0.741320523773738,-3.07639492420888e-07,2.18949877319404e-07,non-significant,burned_area,Tundra,Max Temp Trend,1.34334022892932e-07,Non-Significant
map_coef,3.44138575361081e-07,7.24102179130768e-05,0.63460377757887,-1.07510169573522e-06,1.76337884645739e-06,non-significant,burned_area,Tundra,MAP Trend,7.24102179130768e-07,Non-Significant
human_modification,4.37180045821403e-07,5.48567936909433e-05,0.425488342037759,-6.38013110521086e-07,1.51237320216389e-06,non-significant,burned_area,Tundra,Human Modification,5.48567936909433e-07,Non-Significant
