term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,olson_biome,clean_term,sdt_error,sig_pn
map_coef,-0.000743225280078044,0.135862631293063,0.584354603794852,-0.00340613285342208,0.00191968229326599,non-significant,greenup,"Temperate Grasslands, Savannas & Shrublands",MAP Trend,0.00135862631293063,Non-Significant
human_modification,-0.000437388414315785,0.0143342810234288,0.00228040244476959,-0.000718340322374989,-0.00015643650625658,significant,greenup,"Temperate Grasslands, Savannas & Shrublands",Human Modification,0.000143342810234288,Sig. Negative
(Intercept),0.000188699311311981,0.0764186736942855,0.80496615673843,-0.00130910669309601,0.00168650531571998,non-significant,greenup,Montane Grasslands & Shrublands,Intercept,0.000764186736942855,Non-Significant
nitrogen_depo,0.000422089424829343,0.0310882837034038,0.174569657137683,-0.000187240935757372,0.00103141978541606,non-significant,greenup,Montane Grasslands & Shrublands,Nitrogen Deposition,0.000310882837034038,Non-Significant
mat_coef,-0.000159315820831028,0.0688499669843566,0.817009715049894,-0.00150877517372442,0.00119014353206236,non-significant,greenup,Montane Grasslands & Shrublands,MAT Trend,0.000688499669843566,Non-Significant
max_temp_coef,-0.000144408143948575,0.0441595287971647,0.743660048593971,-0.001009934908373,0.000721118620475852,non-significant,greenup,Montane Grasslands & Shrublands,Max Temp Trend,0.000441595287971647,Non-Significant
map_coef,0.000187155265303271,0.0353686542441533,0.596703026487599,-0.000506070357882133,0.000880380888488676,non-significant,greenup,Montane Grasslands & Shrublands,MAP Trend,0.000353686542441533,Non-Significant
human_modification,0.000189409553385344,0.0217663576128436,0.384204335381602,-0.000237211055826391,0.000616030162597079,non-significant,greenup,Montane Grasslands & Shrublands,Human Modification,0.000217663576128436,Non-Significant
(Intercept),0.000174619319124587,0.082295222902174,0.831962397129272,-0.00143836704975802,0.0017876056880072,non-significant,greenup,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Intercept,0.00082295222902174,Non-Significant
nitrogen_depo,-0.00186987638036205,0.0808777955527166,0.020782789917563,-0.00345508117319529,-0.000284671587528803,significant,greenup,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Nitrogen Deposition,0.000808777955527166,Sig. Negative
mat_coef,-0.000708698118493996,0.0658248124119753,0.281644829143974,-0.00199886444176871,0.000581468204780719,non-significant,greenup,"Tropical & Subtropical Grasslands, Savannas & Shrublands",MAT Trend,0.000658248124119753,Non-Significant
max_temp_coef,-0.000355184487161065,0.0558957192298893,0.525143415655098,-0.00145074058406689,0.000740371609744764,non-significant,greenup,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Max Temp Trend,0.000558957192298893,Non-Significant
map_coef,-0.000889016881085979,0.0386673796620841,0.0215009564266965,-0.00164689752246283,-0.00013113623970913,significant,greenup,"Tropical & Subtropical Grasslands, Savannas & Shrublands",MAP Trend,0.000386673796620841,Sig. Negative
human_modification,2.72808459120378e-05,0.0218091654338469,0.900453648533683,-0.000400178796591362,0.000454740488415438,non-significant,greenup,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Human Modification,0.000218091654338469,Non-Significant
(Intercept),0.000515078176683544,0.0357963329242455,0.150178980477427,-0.000186529948631667,0.00121668630199875,non-significant,greenup,Deserts & Xeric Shrublands,Intercept,0.000357963329242455,Non-Significant
nitrogen_depo,0.000556615994810772,0.0344620872017802,0.106281122143832,-0.000118840914344121,0.00123207290396566,non-significant,greenup,Deserts & Xeric Shrublands,Nitrogen Deposition,0.000344620872017802,Non-Significant
mat_coef,-0.000105938248760769,0.0473243310282135,0.822870094045376,-0.00103349513691375,0.000821618639392215,non-significant,greenup,Deserts & Xeric Shrublands,MAT Trend,0.000473243310282135,Non-Significant
max_temp_coef,-0.000466802271355871,0.0308773297732575,0.1305896527572,-0.00107199793491172,0.000138393392199976,non-significant,greenup,Deserts & Xeric Shrublands,Max Temp Trend,0.000308773297732575,Non-Significant
map_coef,-0.000936506497764871,0.0263023897354139,0.000370308801116257,-0.00145203333657898,-0.000420979658950758,significant,greenup,Deserts & Xeric Shrublands,MAP Trend,0.000263023897354139,Sig. Negative
human_modification,0.000175096372442068,0.0138463066828025,0.206028821532894,-9.62912385408608e-05,0.000446483983424996,non-significant,greenup,Deserts & Xeric Shrublands,Human Modification,0.000138463066828025,Non-Significant
(Intercept),0.000999622772339238,0.0531046002222942,0.0597916259537978,-4.12273920177286e-05,0.00204047293669621,non-significant,greenup,Tropical & Subtropical Moist Broadleaf Forests,Intercept,0.000531046002222942,Non-Significant
nitrogen_depo,-0.000363522738856279,0.0193374684812658,0.0601286023560668,-0.000742537121089089,1.54916433765311e-05,non-significant,greenup,Tropical & Subtropical Moist Broadleaf Forests,Nitrogen Deposition,0.000193374684812658,Non-Significant
mat_coef,-0.000417778723846334,0.0388428093531022,0.282127619920474,-0.00117909778716714,0.00034354033947447,non-significant,greenup,Tropical & Subtropical Moist Broadleaf Forests,MAT Trend,0.000388428093531022,Non-Significant
max_temp_coef,-0.000261680699312734,0.0256538343547612,0.307711497961543,-0.000764495852666054,0.000241134454040586,non-significant,greenup,Tropical & Subtropical Moist Broadleaf Forests,Max Temp Trend,0.000256538343547612,Non-Significant
map_coef,-7.54733671805596e-05,0.0120770198609784,0.532017150323019,-0.000312182956455737,0.000161236222094617,non-significant,greenup,Tropical & Subtropical Moist Broadleaf Forests,MAP Trend,0.000120770198609784,Non-Significant
human_modification,-0.000705290974819487,0.0142248771871983,7.13772278502501e-07,-0.000984098567688573,-0.000426483381950401,significant,greenup,Tropical & Subtropical Moist Broadleaf Forests,Human Modification,0.000142248771871983,Sig. Negative
(Intercept),0.000291272383558609,0.0626320623739507,0.641901856612759,-0.000936316038970824,0.00151886080608804,non-significant,greenup,Temperate Conifer Forests,Intercept,0.000626320623739507,Non-Significant
nitrogen_depo,-0.000130264891807059,0.0238956103272539,0.585666358206382,-0.000598618854221236,0.000338089070607118,non-significant,greenup,Temperate Conifer Forests,Nitrogen Deposition,0.000238956103272539,Non-Significant
mat_coef,-0.000729129830449393,0.0459627958105732,0.112686856131669,-0.00163000062833663,0.000171740967437842,non-significant,greenup,Temperate Conifer Forests,MAT Trend,0.000459627958105732,Non-Significant
max_temp_coef,0.00030622266894219,0.0214878811326614,0.154155904638798,-0.000114939801257974,0.000727385139142353,non-significant,greenup,Temperate Conifer Forests,Max Temp Trend,0.000214878811326614,Non-Significant
map_coef,-0.000461480623996103,0.0394392702708731,0.241982286797853,-0.00123449032130522,0.00031152907331301,non-significant,greenup,Temperate Conifer Forests,MAP Trend,0.000394392702708731,Non-Significant
human_modification,-0.000491348887718621,0.0117781956033794,3.04494503157296e-05,-0.000722201521544857,-0.000260496253892386,significant,greenup,Temperate Conifer Forests,Human Modification,0.000117781956033794,Sig. Negative
(Intercept),-0.00191107299066333,0.130331463624982,0.142566604645734,-0.00446556967771298,0.000643423696386315,non-significant,greenup,Boreal Forests/Taiga,Intercept,0.00130331463624982,Non-Significant
nitrogen_depo,0.000113554963182648,0.162820349009449,0.944398835161822,-0.00307772387740256,0.00330483380376785,non-significant,greenup,Boreal Forests/Taiga,Nitrogen Deposition,0.00162820349009449,Non-Significant
mat_coef,-0.000502663676203726,0.0731342062794002,0.4918855462245,-0.00193609411927997,0.000930766766872518,non-significant,greenup,Boreal Forests/Taiga,MAT Trend,0.000731342062794002,Non-Significant
max_temp_coef,0.000155689940900026,0.0259618057487175,0.548715977330706,-0.000353161451774837,0.00066454133357489,non-significant,greenup,Boreal Forests/Taiga,Max Temp Trend,0.000259618057487175,Non-Significant
map_coef,-0.000646635877620479,0.111516065465903,0.562011731388126,-0.00283235076075219,0.00153907900551123,non-significant,greenup,Boreal Forests/Taiga,MAP Trend,0.00111516065465903,Non-Significant
human_modification,-7.45986186127549e-05,0.0172184186483043,0.664835338862553,-0.00041207962411952,0.00026288238689401,non-significant,greenup,Boreal Forests/Taiga,Human Modification,0.000172184186483043,Non-Significant
(Intercept),-0.00245153491651276,0.175699567340313,0.162934224464348,-0.00589524643638289,0.000992176603357374,non-significant,greenup,Tundra,Intercept,0.00175699567340313,Non-Significant
nitrogen_depo,-0.00489462954291591,0.270646426704932,0.0705377217420048,-0.0101992995063326,0.000410040420500749,non-significant,greenup,Tundra,Nitrogen Deposition,0.00270646426704932,Non-Significant
mat_coef,-0.000241825715438145,0.0417476790169922,0.562420442066689,-0.00106008022417119,0.000576428793294902,non-significant,greenup,Tundra,MAT Trend,0.000417476790169922,Non-Significant
max_temp_coef,0.000126984587199708,0.0118865925213881,0.285391943239609,-0.0001059926262195,0.000359961800618916,non-significant,greenup,Tundra,Max Temp Trend,0.000118865925213881,Non-Significant
map_coef,0.000487253635611284,0.0869171167328826,0.575076670872236,-0.00121632185235322,0.00219082912357578,non-significant,greenup,Tundra,MAP Trend,0.000869171167328826,Non-Significant
human_modification,0.000193546507034949,0.0344741116668985,0.574510905648059,-0.000482146081636261,0.000869239095706159,non-significant,greenup,Tundra,Human Modification,0.000344741116668985,Non-Significant
